,T_amb,t_des=1,t_des=12,t_des=24
26500,3.3,322.302359826072,330.47793135586676,347.46329302071786
26501,3.5,320.7487605013386,328.9373674334341,345.9470331718614
26502,3.6,319.97190422835536,328.1667310925986,345.1880804268201
26503,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26504,3.9,317.6411287362314,325.8534298679423,342.90795820143916
26505,4.0,316.86414014359286,325.081872422286,342.14683702513236
26506,6.3,298.9886764531191,307.2782314871158,324.4976772185442
26507,8.1,285.00111983935443,293.2785680237249,310.5058791479469
26508,9.3,275.68200639434286,283.91980602568816,301.0982634444577
26509,9.6,273.35334805590685,281.57742627719466,298.73700950419243
26510,9.5,274.1295105754036,282.35832776705655,299.5244978133249
26511,8.7,280.34075074397185,288.6014502974361,305.80968296536776
26512,7.5,289.6627880470368,297.9507103314329,315.18629500143646
26513,6.4,298.21143783189314,306.5018576714774,323.72432342781303
26514,5.8,302.8749570594645,311.1574127291049,328.3571593043028
26515,5.5,305.2067386958146,313.4826950375681,330.66693994669305
26516,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26517,4.7,311.42449943101224,319.674788554367,336.8040984113053
26518,4.1,316.08712256484364,324.3100899739316,341.3851794378632
26519,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26520,1.9,333.1722761155063,341.2340753191184,358.0142690698939
26521,1.6,335.50007231197173,343.532295789349,360.26052471804115
26522,1.0,340.153757357842,348.12124599046086,364.73707592630205
26523,1.1,339.3783311301082,347.3571292190752,363.99247749838355
26524,0.9,340.9291044256441,348.8850747450955,365.4810722863366
26525,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26526,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26527,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26528,1.1,339.3783311301082,347.3571292190752,363.99247749838355
26529,2.7,326.96213285226844,335.0937967762931,351.99875110023606
26530,4.2,315.31007763627633,323.5380846419403,340.6229877185919
26531,5.6,304.4294807741765,312.70779140509995,329.897512778706
26532,6.6,296.65699077044263,304.94858939068865,322.1761821512955
26533,7.2,291.99400427382756,300.28477170053725,317.52042406175826
26534,7.0,293.54826144536383,301.84002948125215,319.07421160486416
26535,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26536,2.9,325.4090591397721,333.5561608746647,350.48917177468167
26537,1.5,336.2758687582791,344.297821111185,361.0081050044063
26538,1.4,337.05159456182275,345.0630688692103,361.7550907347
26539,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26540,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26541,1.7,334.7242069310567,342.76649498310394,359.51235820720086
26542,0.3,345.5794326303258,353.4618822926421,369.93229084091354
26543,0.8,341.70437061569413,349.6486134037877,366.2244644898095
26544,0.2,346.35417768119254,354.2236366321241,370.67201479459226
26545,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26546,0.3,345.5794326303258,353.4618822926421,369.93229084091354
26547,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26548,0.4,344.80459637960183,352.6998253692403,369.19195038752633
26549,0.5,344.02967065583385,351.9374679403226,368.4509954751832
26550,0.6,343.25465718107404,351.1748120792831,367.70942815062267
26551,1.2,338.60282745231063,346.59272330241055,363.24727908913934
26552,1.3,337.82724802696595,345.828036961324,362.5014828048445
26553,1.3,337.82724802696595,345.828036961324,362.5014828048445
26554,1.8,333.9482743011442,342.00042079543846,358.76360794502784
26555,2.4,329.291360910523,337.3983519779692,354.2588727440668
26556,3.1,323.85579697024735,332.01753621854374,348.977344023474
26557,3.2,323.07909958609093,331.247854721185,348.2205958172741
26558,3.2,323.07909958609093,331.247854721185,348.2205958172741
26559,3.3,322.302359826072,330.47793135586676,347.46329302071786
26560,3.2,323.07909958609093,331.247854721185,348.2205958172741
26561,3.2,323.07909958609093,331.247854721185,348.2205958172741
26562,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26563,2.3,330.0676615804271,338.1660224465339,355.01110505248255
26564,1.9,333.1722761155063,341.2340753191184,358.0142690698939
